,amenity,name,addr:street,addr:housenumber,addr:city
595,restaurant,Mitsui,Via Carlo Farini,4,Milano
596,restaurant,Mythos,Via Maurizio Quadrio,23,Milano
597,restaurant,You Yi,Via Carlo Farini,8,Milano
598,bar,Ceresio 7,Via Ceresio,7,Milano
599,restaurant,Poporoya,Via Bartolomeo Eustachi,17,Milano
600,restaurant,Pescetto,Via Alessandro Volta,9,Milano
608,restaurant,Radicetonda,Via Lazzaro Spallanzani,16,Milano
609,restaurant,Curò Ristorante,Viale Monte Grappa,9,Milano
610,restaurant,Sciatt a Porter,Viale Monte Grappa,18,Milano
611,restaurant,La Filetteria Italiana,Via Amerigo Vespucci,3,Milano
616,restaurant,La collina d'oro,Via Pietro Rubens,24,Milano
617,restaurant,Pizzeria Spontini,Via Cenisio,37,Milano
618,restaurant,Da Luigi e Anna,Via Balilla,32,Milano
621,restaurant,Serendipico,Piazza Castello,1,Milano
622,restaurant,Stravagario Bistrot,Via Garigliano,3,Milano
623,restaurant,Berberè,Via Sebenico,21,Milano
624,restaurant,Corti Abbadesse,Via degli Assereto,19,Milano
625,restaurant,L'Anima,Via Garigliano,6,Milano
626,restaurant,Japonito,Piazzale Segrino,1,Milano
627,restaurant,Osteria Borsieri,Via Pietro Borsieri,39,Milano
630,restaurant,Zio Pesce,Via Andrea Maffei,12,Milano
631,restaurant,U Barba,Via Pier Candido Decembrio,33,Milano
633,restaurant,Nerino Dieci Trattoria,Via Nerino,10,Milano
637,restaurant,Osteria Angelino,Via Fabio Filzi,9,Milano
638,restaurant,Osteria della Carne,Via Fabio Filzi,11,Milano
639,restaurant,Ristorante Limone,Via Fabio Filzi,7,Milano
640,restaurant,Farinami,Via Vittor Pisani,19,Milano
641,restaurant,Hosteria La Cadrega,Via Gustavo Fara,1,Milano
642,restaurant,Antares,Via Vittor Pisani,16,Milano
643,restaurant,Nima,Via Vittor Pisani,14,Milano
644,bar,Metropolis,Via Vittor Pisani,5,Milano
645,restaurant,Ristorante Berton,Via Mike Bongiorno,13,Milano
648,restaurant,Al tempio d'oro,Via delle Leghe,23,Milano
652,restaurant,La Cantina,Via Giuseppe Meda,31,Milano
653,restaurant,La Gravina,Via Giovanni Pezzotti,46,Milano
655,restaurant,Il Salumaio di Montenapoleone,Via Santo Spirito,10,Milano
656,restaurant,Zaza Ramen,Via Solferino,48,Milano
657,cinema,Anteo Spazio Cinema,Piazza Venticinque Aprile,8,Milano
658,restaurant,Ristorante Solferino,Via Castelfidardo,2,Milano
659,restaurant,La Briciola,Via Solferino,25,Milano
660,restaurant,Meatbar,Via Solferino,41,Milano
661,restaurant,Wasabi,Via Solferino,27,Milano
665,restaurant,Ristorante La bisBistecca,Piazzale Principessa Clotilde,10,Milano
671,restaurant,Da Pippo si magna,Via Achille Bizzoni,7,Milano
672,restaurant,Le Chalet,Via Tonale,6,Milano
673,restaurant,Andry Bistrot,Via San Giovanni sul Muro,13,Milano
674,restaurant,Riso e Latte,Via Manfredo Camperio,6,Milano
677,restaurant,Viveca,Via Alessandro Tadino,9,Milano
679,bar,Opera 33,Via Carlo Farini,33,Milano
680,restaurant,L'Angolino,Via Luigi Porro Lambertenghi,1,Milano
681,restaurant,L'Aquila d'Oro,Via Carlo Farini,31,Milano
682,restaurant,Spago,Via Ugo Bassi,3,Milano
683,restaurant,Verdi's,Via Nirone,2,Milano
684,bar,Happy Bar,Corso Magenta,25,Milano
685,restaurant,Anthony,Via Giovanni Pacini,67,Milano
686,restaurant,Good Morgan,Via Plinio,37,Milano
687,restaurant,Antica Focacceria San Francesco,Via Panfilo Castaldi,37,Milano
688,bar,Bada Boom,Corso Sempione,7,Milano
691,restaurant,Bar Miró,Via Broletto,41,Milano
694,restaurant,I Tesori del Mare,Viale Monte Grappa,2,Milano
695,bar,Boombastic Cafè,Via Carlo De Cristoforis,2,Milano
696,restaurant,Il Liberty,Viale Monte Grappa,6,Milano
697,restaurant,Mare Blu,Via Lomellina,12,Milano
698,bar,Bar Fusina Di Crescente Nicola,Piazza Andrea Fusina,1,Milano
709,restaurant,L'Antro della Sibilla,Via San Gregorio,37,Milano
712,restaurant,Ciccio Pizza,Via Teodosio,37,Milano
713,restaurant,Al Less,Viale Lombardia,28,Milano
714,restaurant,Lee's,Viale Lombardia,32,Milano
715,restaurant,Acanto,Piazza della Repubblica,17,Milano
716,restaurant,Arigatò,Viale Vittorio Veneto,32,Milano
717,restaurant,Il Desiderio 2,Via Carlo Farini,37,Milano
718,restaurant,Viva la Vida,Via Arnaldo da Brescia,1,Milano
719,restaurant,Chini,Via Panfilo Castaldi,4,Milano
720,restaurant,Clotilde Bistrot,Via Galileo Galilei,2,Milano
721,restaurant,La Tana del Lupo,Viale Vittorio Veneto,30,Milano
722,restaurant,STK Milan,Piazza della Repubblica,13,Milano
723,restaurant,L'Aquarius,Via Valtellina,4,Milano
724,restaurant,Ai tre ponti,Viale Corsica,95,Milano
726,restaurant,Vento di Sardegna,Via Edmondo De Amicis,44,Milano
730,restaurant,Little Lamb,Via Paolo Sarpi,8,Milano
731,restaurant,Jubin,Via Paolo Sarpi,11,Milano
732,restaurant,Ha Long Bay,Piazzale Antonio Baiamonti,5,Milano
733,restaurant,Dong Ya,Via Paolo Sarpi,5,Milano
737,restaurant,Arepa'z,Viale Cassala,9,Milano
742,restaurant,Caffe' Verdi,Via Giuseppe Verdi,6,Milano
744,restaurant,Simon's,Via San Vittore,6,Milano
745,restaurant,Shanji,Via Alessandro Volta,20,Milano
746,restaurant,Sumire,Via Varese,1,Milano
747,restaurant,Gialle,Via Alessandro Volta,12,Milano
748,restaurant,Wakaba,Piazzale Antonio Baiamonti,2,Milano
749,restaurant,Nook,Viale Pasubio,14,Milano
750,restaurant,Lievità Pizzeria gourmet,Via Varese,4,Milano
751,restaurant,Himalaya,Viale Pasubio,12,Milano
752,bar,Melabevo,Via Alessandro Volta,14,Milano
753,restaurant,Mun,Piazzale Antonio Baiamonti,2,Milano
755,restaurant,Bab,Via San Marco,34,Milano
