id,amenity,name,addr:street,addr:housenumber,addr:city
607,restaurant,Tempio Di Bacco,Via Lombardia,36/38,Roma
619,restaurant,Sakura Sushi,Piazzale di Porta Pia,122,Roma
626,restaurant,La Matriciana,Via del Viminale,44,Roma
627,bar,Il Palchetto,Via del Viminale,48,Roma
628,restaurant,Trattoria da Valentino,Via Cavour,293,Roma
629,restaurant,Bianco pepe,Via Cavour,291,Roma
635,restaurant,Antica Bohéme,Via Napoli,4,Roma
636,restaurant,La mucca biricchina,Via Urbana,12,Roma
637,restaurant,Tema,Via Panisperna,96;98,Roma
638,restaurant,Rosemary,Via Modena,16,Roma
641,restaurant,Al Padovano,Via Bergamo,50,Roma
649,restaurant,Ristorante Massawa,Via Montebello,28,Roma
657,restaurant,Antonio al Pantheon,Via dei Pastini,12,Roma
692,restaurant,Il Ponentino,Piazza del Drago,10,Roma
724,restaurant,Osteria dell'Arco,Via Giacomo Pagliari,11,Roma
740,restaurant,Efeso il barrocciaio,Via dei Salentini,12,Roma
743,restaurant,Sicily,Via Marsala,68,Roma
751,restaurant,Da Emilio,Via Alessandria,189,Roma
757,restaurant,Trattoria Pizzeria Luzzi,Via di San Giovanni in Laterano,88,Roma
760,restaurant,Asian Delight,Via Goito,44,Roma
763,restaurant,Ristorante Al Pompiere,Via di Santa Maria de' Calderari,38,Roma
766,restaurant,Zeus,Via Nazionale,251/a,Roma
768,restaurant,Il Melarancio,Via del Vantaggio,43,Roma
777,restaurant,Farinè la pizza,Via degli Aurunci,6,Roma
780,restaurant,Bonario gastronomia,Via dei Volsci,121,Roma
786,restaurant,Osteria Trattoria da Fortunata,Corso del Rinascimento,17,Roma
792,restaurant,Bonario ristorante,Via dei Volsci,121,Roma
795,restaurant,Tea & Noodles,Via Conte Verde,36/38,Roma
796,restaurant,Pescetto,Via Angelo Poliziano,10,Roma
797,restaurant,Da Nino,Via Merulana,74,Roma
798,restaurant,Baia Chia,Via Machiavelli,7,Roma
803,restaurant,Disco Volante,Via Alessandria,50,Roma
805,restaurant,Marzapane,Via Flaminia,64,Roma
806,restaurant,Apulia,via degli Umbri,10,Rome
807,restaurant,Mozart,Via Toscana,24/26,Roma
