,Unnamed: 0,codice_regione_ISTAT,codice_nuts_1,descrizione_nuts_1,codice_nuts_2,denominazione_regione,sigla_regione,latitudine_regione,longitudine_regione,range_eta,totale_genere_maschile,totale_genere_femminile,totale_generale
102,114,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,40-49,21285,20929,42214
103,115,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,50-59,23481,23962,47443
104,116,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,60-69,19739,20770,40509
105,117,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,70-79,14301,15990,30291
106,118,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,80-89,8289,12749,21038
107,119,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,90+,1455,3764,5219
108,121,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,0-19,369143,348027,717170
109,122,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,20-29,212041,194149,406190
110,123,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,30-39,231750,227617,459367
111,124,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,40-49,315301,317444,632745
112,125,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,50-59,339079,349619,688698
113,126,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,60-69,269303,288928,558231
114,127,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,70-79,219431,257985,477416
115,128,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,80-89,121883,184829,306712
116,129,01,ITC,Nord-Ovest,ITC1,Piemonte,PIE,45.0732745,7.680687483,90+,17127,47561,64688
117,131,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,0-19,367470,347161,714631
118,132,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,20-29,227341,211934,439275
119,133,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,30-39,230626,230335,460961
120,134,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,40-49,288521,294771,583292
121,135,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,50-59,293018,312568,605586
122,136,16,ITF,Sud,ITF4,Puglia,PUG,41.12559576,16.86736689,60-69,233307,257593,490900
